size_MB,latency_ns
0.00049,0.877
0.00098,0.877
0.00195,0.877
0.00293,0.876
0.00391,0.877
0.00586,0.878
0.00781,0.877
0.01172,0.877
0.01562,0.876
0.02344,0.876
0.03125,0.877
0.04688,2.629
0.06250,2.628
0.09375,2.629
0.12500,2.683
0.18750,2.783
0.25000,2.758
0.37500,3.029
0.50000,3.089
0.75000,3.104
1.00000,3.095
1.50000,3.107
2.00000,3.096
3.00000,3.117
4.00000,3.148
6.00000,3.375
8.00000,4.013
12.00000,4.724
16.00000,4.907
24.00000,4.974
32.00000,5.005
48.00000,4.996
64.00000,5.026
96.00000,5.006
128.00000,5.038
192.00000,5.002
256.00000,5.032
